ID,GT_NO2
X5953,1.4092122939445723e+17
X6701,1.4088546061598867e+17
X6877,1.4091098514667333e+17
PD03,1.2219510742482315e+17
TV03,1.221848985378386e+17
X5561,1.2205732568525933e+17
X5953,1.2230689041564734e+17
X6701,1.222654540862605e+17
X6877,1.2228719209167091e+17
PD03,1.2228024363233683e+17
TV03,1.2220851550928291e+17
X5561,1.2210135002958072e+17
X5953,1.2234746428297442e+17
X6701,1.22309011784832e+17
X6877,1.22314576828322e+17
PD03,1.2220094761252586e+17
TV03,1.2211402655890842e+17
X5561,1.2197580300174482e+17
X5953,1.2223444178457755e+17
X6701,1.2218769843325616e+17
X6877,1.2221368956936634e+17
PD03,1.2218670738756176e+17
TV03,1.2214221478676192e+17
X5561,1.2204905957018997e+17
X5953,1.2226339554456539e+17
X6701,1.2223532089622454e+17
X6877,1.222428291290274e+17
PD03,1.0574966781895208e+17
TV03,1.0571887020500795e+17
X5561,1.0565343133854262e+17
X5953,1.0577072463244978e+17
X6701,1.0575376808319766e+17
X6877,1.0576868098829782e+17
PD03,1.2220200653300125e+17
TV03,1.2212016618081522e+17
X5561,1.4040506842329427e+17
X5953,1.2224000972663822e+17
X6701,1.4080297482243512e+17
X6877,1.2212429958998949e+17
PD03,1.4086283557129162e+17
TV03,1.4078265144886704e+17
X5561,1.4062466128236851e+17
X5953,1.4103128405923387e+17
X6701,1.4095890671388843e+17
X6877,1.410002069608727e+17
PD03,1.223313692603257e+17
TV03,1.222449230955045e+17
X5561,1.2210825557913416e+17
X5953,1.2236439632154507e+17
X6701,1.2232237412703069e+17
X6877,1.2234821501532829e+17
PD03,1.0577416574985003e+17
TV03,1.0573359332070214e+17
X5561,1.0567086440230896e+17
X5953,1.0577782076969979e+17
X6701,1.0575868688103958e+17
X6877,1.057587073712689e+17
PD03,1.51364538318925e+17
TV03,1.511483486762195e+17
X5561,1.50963084449903e+17
X5953,1.515272305045031e+17
X6701,1.5146268856550448e+17
X6877,1.5144694697317024e+17
PD03,1.2233439756855579e+17
TV03,1.3156990397069378e+17
X5561,1.2212995436886667e+17
X5953,1.2239789242965589e+17
X6701,1.2235190216320144e+17
X6877,1.2236649583639781e+17
PD03,1.6167675627223248e+17
TV03,1.407096724743525e+17
X5561,1.612241079496439e+17
X5953,1.6195095097997565e+17
X6701,1.617971952494749e+17
X6877,1.6190629294745907e+17
PD03,1.2226301522465883e+17
TV03,1.2216212166761752e+17
X5561,1.2206547667402874e+17
X5953,1.2229774022746064e+17
X6701,1.2226944436006667e+17
X6877,1.2227380372106155e+17
PD03,1.0577072504943254e+17
TV03,1.0572612967809506e+17
X5561,9.580587176505448e+16
X5953,9.995696586630859e+16
X6701,9.586917925395842e+16
X6877,1.0576524877513755e+17
PD03,9.586106507069189e+16
TV03,9.584339950400454e+16
X5561,9.583111982163045e+16
X5953,9.590331053634808e+16
X6701,9.587050221060989e+16
X6877,9.588301499043458e+16
PD03,1.0579730250231928e+17
TV03,1.0574550511414266e+17
X5561,1.0570502561153742e+17
X5953,1.0580259042562283e+17
X6701,1.0578502130443222e+17
X6877,1.0577184844564896e+17
PD03,1.4100651899914165e+17
TV03,1.4076510750885355e+17
X5561,1.6123782866076605e+17
X5953,1.4098304430037864e+17
X6701,1.4093134340506926e+17
X6877,1.409731237396145e+17
PD03,1.622197329214124e+17
TV03,1.618282315604325e+17
X5561,1.614909292115424e+17
X5953,1.62248945064751e+17
X6701,1.6213556349647622e+17
X6877,1.6219324327132682e+17
PD03,1.4117277892332866e+17
TV03,1.410097204457887e+17
X5561,1.4076511555731445e+17
X5953,1.412429727987945e+17
X6701,1.4114098668959827e+17
X6877,1.4119567783169552e+17
PD03,1.224416130123974e+17
TV03,1.2234458126528302e+17
X5561,1.222237279414866e+17
X5953,1.2245587813538104e+17
X6701,1.2242475501107288e+17
X6877,1.224507868172473e+17
PD03,1.1410641339467258e+17
TV03,1.1407212321368077e+17
X5561,1.0577053065079739e+17
X5953,1.0587017978829136e+17
X6701,1.0586198291045096e+17
X6877,1.1413899897834205e+17
PD03,1.2237145800338586e+17
TV03,1.2233240234624211e+17
X5561,1.2219637116313718e+17
X5953,1.2243755683634605e+17
X6701,1.2240530373245043e+17
X6877,1.2242339171653293e+17
PD03,1.2236677122094749e+17
TV03,1.0580843807353445e+17
X5561,1.221888533885029e+17
X5953,1.2240540797761171e+17
X6701,1.2236457871482538e+17
X6877,1.223794965279457e+17
PD03,1.2222001584914534e+17
TV03,1.2219605802827592e+17
X5561,1.2208057313046677e+17
X5953,1.223093097965713e+17
X6701,1.2227161642754691e+17
X6877,1.2228334629970539e+17
PD03,1.4092839859488742e+17
TV03,1.4086312349072853e+17
X5561,1.4065424165907834e+17
X5953,1.4108868472280606e+17
X6701,1.410051807295042e+17
X6877,1.4105008082542723e+17
PD03,1.2235062425582494e+17
TV03,1.2230625712841002e+17
X5561,1.2215247523324029e+17
X5953,1.2240796139248661e+17
X6701,1.2236577945346168e+17
X6877,1.2237309322695125e+17
PD03,1.4115516578823898e+17
TV03,1.4101135962624152e+17
X5561,1.4082286607221776e+17
X5953,1.412437416832057e+17
X6701,1.4116371890127674e+17
X6877,1.4120373817505344e+17
PD03,1.4116104620777952e+17
TV03,1.4104492517246978e+17
X5561,1.4082822429809602e+17
X5953,1.4127491875983086e+17
X6701,1.411909952205653e+17
X6877,1.4120331185063118e+17
PD03,1.4110308350255742e+17
TV03,1.2231475451737781e+17
X5561,1.4072708696659002e+17
X5953,1.4115823453876608e+17
X6701,1.4110998890411126e+17
X6877,1.4112974653828824e+17
PD03,1.4098720853906504e+17
TV03,1.2226444895811298e+17
X5561,1.4059719271828395e+17
X5953,1.4106069710623275e+17
X6701,1.4098333170834741e+17
X6877,1.4101643222428376e+17
PD03,1.4095337483984149e+17
TV03,1.4082240064426826e+17
X5561,1.405523458752802e+17
X5953,1.4101062124342693e+17
X6701,1.4095576897019885e+17
X6877,1.4100015161254576e+17
PD03,1.4101465308513232e+17
TV03,1.4076860189388158e+17
X5561,1.4056775286154018e+17
X5953,1.4099926939672531e+17
X6701,1.4093671108136325e+17
X6877,1.4092899720145211e+17
PD03,1.4091099825450952e+17
TV03,1.4068480415778557e+17
X5561,1.40676808673188e+17
X5953,1.4068439402397307e+17
X6701,1.406844456454692e+17
X6877,1.4065019802517483e+17
PD03,1.4059981033828542e+17
TV03,1.4050405519341298e+17
X5561,1.4050625572138686e+17
X5953,1.4050593124035242e+17
X6701,1.4051186988532258e+17
X6877,1.4065744336652662e+17
PD03,1.4059682428250838e+17
TV03,1.4051250748908474e+17
X5561,1.4032741495633614e+17
X5953,1.4076572462354773e+17
X6701,1.406978538888975e+17
X6877,1.406209415497156e+17
PD03,1.4066519590037432e+17
TV03,1.405101826541445e+17
X5561,1.4030057044367813e+17
X5953,1.407115440362155e+17
X6701,1.4064391043332997e+17
X6877,1.406884585279079e+17
PD03,1.5099367749491053e+17
TV03,1.508580815668898e+17
X5561,1.609475158507659e+17
X5953,1.616610319739368e+17
X6701,1.6154231206402525e+17
X6877,1.617127751606016e+17
PD03,1.617096335956258e+17
TV03,1.6140934026851978e+17
X5561,1.6099610485571005e+17
X5953,1.6182700127019805e+17
X6701,1.617089816508883e+17
X6877,1.61777082374869e+17
PD03,1.407870906407007e+17
TV03,1.4066963536680629e+17
X5561,1.6101321146608685e+17
X5953,1.4090372645938787e+17
X6701,1.4082806964901994e+17
X6877,1.4083915678481029e+17
PD03,1.4078850583370355e+17
TV03,1.4060499466492213e+17
X5561,1.60962608405111e+17
X5953,1.6174203727368445e+17
X6701,1.6161787881519494e+17
X6877,1.6166736292671478e+17
PD03,1.4066463708514114e+17
TV03,1.4063718018843536e+17
X5561,1.4064327626560213e+17
X5953,1.4064854961532464e+17
X6701,1.4064860123682077e+17
X6877,1.4081992136401494e+17
PD03,1.4093343946994109e+17
TV03,1.4070299419641288e+17
X5561,1.6120793895197907e+17
X5953,1.4092197724455886e+17
X6701,1.6181756834179885e+17
X6877,1.4088014288666986e+17
PD03,1.617945931122374e+17
TV03,1.6159876841370733e+17
X5561,1.6123734519454893e+17
X5953,1.619872468168307e+17
X6701,1.6185779342612125e+17
X6877,1.619547319654836e+17
PD03,1.4088691194952243e+17
TV03,1.615921848710784e+17
X5561,1.4048156135022718e+17
X5953,1.4094975348897269e+17
X6701,1.4088504362416397e+17
X6877,1.4091897903066122e+17
PD03,1.4091905205859784e+17
TV03,1.4095590700657206e+17
X5561,1.4094863474227558e+17
X5953,1.40934283668063e+17
X6701,1.4096367494580613e+17
X6877,1.4095591744679952e+17
PD03,1.2225650191376501e+17
TV03,1.2226022971541061e+17
X5561,1.2214814691641408e+17
X5953,1.2237668095231197e+17
X6701,1.2233795570011336e+17
X6877,1.2237104725982954e+17
PD03,1.2230391291831944e+17
TV03,1.2225590788455256e+17
X5561,1.2215375037096934e+17
X5953,1.2238241469698213e+17
X6701,1.2236128756679734e+17
X6877,1.2236997942302984e+17
PD03,1.2233884629742088e+17
TV03,1.2229697367410342e+17
X5561,1.0565970128725378e+17
X5953,1.2241063515741397e+17
X6701,1.2236814575068131e+17
X6877,1.2237950044269909e+17
PD03,1.2236832647868059e+17
TV03,1.2236193602332638e+17
X5561,1.222504318273171e+17
X5953,1.2247570799355717e+17
X6701,1.2243985287430613e+17
X6877,1.2244808642191496e+17
PD03,1.2244001939884986e+17
TV03,1.223555015451344e+17
X5561,1.2223844880481754e+17
X5953,1.2246302622581722e+17
X6701,1.2242122657284602e+17
X6877,1.2244123381206808e+17
PD03,1.2234054591533205e+17
TV03,1.2227380539741602e+17
X5561,1.2210480538585806e+17
X5953,1.2237966915234437e+17
X6701,1.2233551019338037e+17
X6877,1.2237165894966208e+17
PD03,1.0577643377685827e+17
TV03,1.0576478357185606e+17
X5561,1.2204789459513238e+17
X5953,1.1399761220925043e+17
X6701,1.2220476700471122e+17
X6877,1.0575756906689382e+17
PD03,1.4073644639990224e+17
TV03,1.4062700771209762e+17
X5561,1.4035740267896818e+17
X5953,1.408027228565334e+17
X6701,1.4072416041327154e+17
X6877,1.4078369890020309e+17
PD03,1.408059432154268e+17
TV03,1.2217982459507613e+17
X5561,1.2217473213873158e+17
X5953,1.2217851884795941e+17
X6701,1.2217868594020893e+17
X6877,1.2217896512829715e+17
PD03,1.2230410661832984e+17
TV03,1.2222040319726272e+17
X5561,1.2221771760149598e+17
X5953,1.2233176805519845e+17
X6701,1.4095329681671294e+17
X6877,1.2230877503204597e+17
PD03,1.4078268522124224e+17
TV03,1.4073772245674763e+17
X5561,1.611423886370459e+17
X5953,1.6201517045946208e+17
X6701,1.6186193069024266e+17
X6877,1.6193816499873008e+17
PD03,1.6191028156082874e+17
TV03,1.6168396403027568e+17
X5561,1.5089743786960544e+17
X5953,1.6208213636973498e+17
X6701,1.6193062251545286e+17
X6877,1.619959006910186e+17
PD03,1.6191971053107373e+17
TV03,1.616341732431934e+17
X5561,1.6126057951240822e+17
X5953,1.6201279220800342e+17
X6701,1.6189269963978733e+17
X6877,1.619485897641133e+17
PD03,1.772097093188065e+17
TV03,1.7688336043761053e+17
X5561,1.7644282949106515e+17
X5953,1.774689104110074e+17
X6701,1.7725932718277427e+17
X6877,1.7742223939480813e+17
PD03,1.6193010047674778e+17
TV03,1.6156535616226166e+17
X5561,1.612478723017134e+17
X5953,1.6199258521159728e+17
X6701,1.6189198635520317e+17
X6877,1.619121772465871e+17
PD03,1.408597495847521e+17
TV03,1.4075722142210962e+17
X5561,1.4055740775031541e+17
X5953,1.410130093490577e+17
X6701,1.409540591028252e+17
X6877,1.4097751584506243e+17
PD03,1.222324847998782e+17
TV03,1.2215590968035005e+17
X5561,1.3124514473443118e+17
X5953,1.2227795073797691e+17
X6701,1.222491109167446e+17
X6877,1.2225190789781898e+17
PD03,1.511559487236853e+17
TV03,1.6145433606255792e+17
X5561,1.404101699636037e+17
X5953,1.408742811706712e+17
X6701,1.4078811692552726e+17
X6877,1.408289406709672e+17
PD03,1.2214647991417437e+17
TV03,1.2208749169284816e+17
X5561,1.2196923711458453e+17
X5953,1.2219749974319426e+17
X6701,1.2217652129719008e+17
X6877,1.2219229277325182e+17
PD03,1.2219236580118843e+17
TV03,1.613576587246967e+17
X5561,1.6098466037699277e+17
X5953,1.6174484268262906e+17
X6701,1.6163614965932826e+17
X6877,1.6162387632343437e+17
PD03,1.618142596428346e+17
TV03,1.6159805052461578e+17
X5561,1.4054285385955762e+17
X5953,1.4105138879471051e+17
X6701,1.409460255047479e+17
X6877,1.6196885317178723e+17
PD03,1.4099125763308139e+17
TV03,1.4085605438738054e+17
X5561,1.4057409088375398e+17
X5953,1.4104523029720371e+17
X6701,1.4097568529148936e+17
X6877,1.4100500720836877e+17
PD03,1.2227001487277744e+17
TV03,1.2218673063877672e+17
X5561,1.2219040870134997e+17
X5953,1.2219789347763192e+17
X6701,1.2219794509912805e+17
X6877,1.0578586735159571e+17
PD03,1.4077519699514018e+17
TV03,1.4056838329352893e+17
X5561,1.4036961271513349e+17
X5953,1.4085388644414494e+17
X6701,1.4075822736929912e+17
X6877,1.4081538097798728e+17
PD03,1.3148848582213016e+17
TV03,1.4069679511990445e+17
X5561,1.2202574824466496e+17
X5953,1.2226775366298618e+17
X6701,1.2229627226642278e+17
X6877,1.2223760765585749e+17
PD03,1.4073538888770509e+17
TV03,1.4069335636450373e+17
X5561,1.6120037420577475e+17
X5953,1.4091428474268986e+17
X6701,1.408176633936574e+17
X6877,1.4093685326444467e+17
PD03,1.40926952865927e+17
TV03,1.409326110074825e+17
X5561,1.4055510518102475e+17
X5953,1.410272275510112e+17
X6701,1.4093671136045566e+17
X6877,1.4099250210741757e+17
PD03,1.4089347907958933e+17
TV03,1.4087632018484453e+17
X5561,1.2214889115025093e+17
X5953,1.4108434938284925e+17
X6701,1.2229627796473574e+17
X6877,1.4101381333714651e+17
PD03,1.4089109748577752e+17
TV03,1.4080608325332142e+17
X5561,1.2207428193137802e+17
X5953,1.3167102690271693e+17
X6701,1.3160768464386288e+17
X6877,1.3163344888821091e+17
PD03,1.6197311862955504e+17
TV03,1.6159783610362912e+17
X5561,1.4053598972862411e+17
X5953,1.620441884182938e+17
X6701,1.6190138311399475e+17
X6877,1.619913588877831e+17
PD03,1.4078937630781846e+17
TV03,1.615611884145364e+17
X5561,1.4051882666997416e+17
X5953,1.409360049821441e+17
X6701,1.408411975113077e+17
X6877,1.4094579314124344e+17
PD03,1.4082926311376326e+17
TV03,1.4068227636696178e+17
X5561,1.4047186391488498e+17
X5953,1.4088279536229045e+17
X6701,1.4080643729461659e+17
X6877,1.4087455793327221e+17
PD03,1.6167396984096528e+17
TV03,1.6144699946705274e+17
X5561,1.6106498530360013e+17
X5953,1.6178900157420576e+17
X6701,1.6165971563699357e+17
X6877,1.6172049165046995e+17
PD03,1.61702888189826e+17
TV03,1.4062743819468163e+17
X5561,1.61042633478235e+17
X5953,1.6173829813630525e+17
X6701,1.616347624341594e+17
X6877,1.6168974110145123e+17
PD03,1.6149971926574848e+17
TV03,1.6140118939722445e+17
X5561,1.6097401222136566e+17
X5953,1.618134343321088e+17
X6701,1.6170706413929322e+17
X6877,1.61741516584753e+17
PD03,1.4081022346474858e+17
TV03,1.6150772139360704e+17
X5561,1.6115972504231526e+17
X5953,1.4089084039417587e+17
X6701,1.6175393945019053e+17
X6877,1.4087409341632717e+17
PD03,1.4084202388556011e+17
TV03,1.4077846582689336e+17
X5561,1.405400432179413e+17
X5953,1.4102857246112307e+17
X6701,1.4096210932302952e+17
X6877,1.409325238527676e+17
PD03,1.2223787835320016e+17
TV03,1.4078569916808586e+17
X5561,1.2212521889092182e+17
X5953,1.2234896398585498e+17
X6701,1.2234034310090021e+17
X6877,1.2232202205295878e+17
PD03,1.2227140350969245e+17
TV03,1.2221569380258632e+17
X5561,1.2208533255752387e+17
X5953,1.2235729217384158e+17
X6701,1.2232266301075872e+17
X6877,1.2229533412484954e+17
PD03,1.2229510695482104e+17
TV03,1.2220387216355517e+17
X5561,1.3132829336974515e+17
X5953,1.3165802066317659e+17
X6701,1.3158453836773706e+17
X6877,1.3161962179675773e+17
PD03,1.2227157503490976e+17
TV03,1.2220634792204658e+17
X5561,1.2209604278632707e+17
X5953,1.223147429243167e+17
X6701,1.2229278037894302e+17
X6877,1.2230258128838304e+17
PD03,1.2220296598206515e+17
TV03,1.2215180574983517e+17
X5561,1.221780388565495e+17
X5953,1.2227258538435245e+17
X6701,1.2224854377120075e+17
X6877,1.222537250287835e+17
PD03,1.4074920849139277e+17
TV03,1.4058569620744157e+17
